step,loss,grad_norm,learning_rate,rewards/answer_accuracy_reward,rewards/answer_format_reward,reward,reward_std,completion_length,kl,epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
168,0.0005,1.286130428314209,1e-06,0.3125,0.6875,1.0,0.5,99.4375,0.012332916259765625,0.39,,,,
169,0.0,0.5582183003425598,1e-06,0.5625,0.9375,1.5,0.4927992820739746,33.875,0.0011920928955078125,0.39,,,,
170,0.0013,0.5842787623405457,1e-06,0.125,0.75,0.875,0.4330126941204071,83.25,0.032894134521484375,0.4,,,,
171,0.0001,0.6763298511505127,1e-06,0.125,0.875,1.0,0.4541241526603699,80.4375,0.00226593017578125,0.4,,,,
172,0.0004,0.8399249911308289,1e-06,0.0625,0.8125,0.875,0.4541241526603699,63.125,0.009500503540039062,0.4,,,,
173,0.0,0.37305596470832825,1e-06,0.25,0.75,1.0,0.5086943507194519,138.125,0.001201629638671875,0.4,,,,
174,0.0008,0.27279719710350037,1e-06,0.0625,0.8125,0.875,0.25,29.75,0.01967620849609375,0.41,,,,
175,0.0016,0.44901764392852783,1e-06,0.1875,0.6875,0.875,0.39433756470680237,13.6875,0.03936767578125,0.41,,,,
176,0.004,1.006934642791748,1e-06,0.3125,0.875,1.1875,0.6177992820739746,11.5,0.099212646484375,0.41,,,,
177,0.0001,0.7019299268722534,1e-06,0.4375,0.875,1.3125,0.125,37.4375,0.0024259090423583984,0.41,,,,
178,0.0001,0.46724584698677063,1e-06,0.375,0.9375,1.3125,0.375,43.0625,0.0013275146484375,0.42,,,,
179,0.0027,1.020613670349121,1e-06,0.25,0.9375,1.1875,0.48935678601264954,16.0,0.067962646484375,0.42,,,,
180,0.0001,0.527921736240387,1e-06,0.0,0.6875,0.6875,0.125,24.75,0.00267791748046875,0.42,,,,
181,0.0008,0.8220223784446716,1e-06,0.375,0.875,1.25,0.36435678601264954,70.375,0.020263671875,0.42,,,,
182,0.0008,0.7244493365287781,1e-06,0.0625,0.75,0.8125,0.375,20.5,0.01976776123046875,0.43,,,,
183,0.0014,1.9475321769714355,1e-06,0.1875,0.8125,1.0,0.36435678601264954,15.5,0.034912109375,0.43,,,,
184,0.0019,0.894763708114624,1e-06,0.375,0.8125,1.1875,0.375,60.3125,0.048583984375,0.43,,,,
185,0.0004,0.47320854663848877,1e-06,0.25,0.6875,0.9375,0.375,121.9375,0.010711669921875,0.43,,,,
186,0.001,0.738372266292572,1e-06,0.25,0.5625,0.8125,0.5791241526603699,23.0,0.0247344970703125,0.43,,,,
187,0.0,0.24789686501026154,1e-06,0.125,0.8125,0.9375,0.5791241526603699,102.3125,0.001117706298828125,0.44,,,,
188,0.0001,0.4085206985473633,1e-06,0.25,0.875,1.125,0.5,74.1875,0.00279998779296875,0.44,,,,
189,0.0003,0.18324778974056244,1e-06,0.1875,0.8125,1.0,0.36435678601264954,67.1875,0.008426666259765625,0.44,,,,
190,0.001,0.29535406827926636,1e-06,0.1875,0.75,0.9375,0.125,16.5,0.02545166015625,0.44,,,,
191,0.0034,0.8056043386459351,1e-06,0.375,0.8125,1.1875,0.6177992820739746,47.8125,0.08407306671142578,0.45,,,,
192,0.005,0.5796431303024292,1e-06,0.3125,0.8125,1.125,0.5386751294136047,51.5,0.12450408935546875,0.45,,,,
193,0.0013,0.013848062604665756,1e-06,0.5,1.0,1.5,0.0,26.375,0.0330047607421875,0.45,,,,
194,0.0044,0.4767093360424042,1e-06,0.1875,0.75,0.9375,0.6177992820739746,58.125,0.1107177734375,0.45,,,,
195,0.0005,0.6937429308891296,1e-06,0.1875,0.875,1.0625,0.5193375647068024,54.5,0.0113525390625,0.46,,,,
196,0.0058,0.41919204592704773,1e-06,0.0625,0.75,0.8125,0.48935678601264954,91.9375,0.14562225341796875,0.46,,,,
197,0.0001,0.4247870147228241,1e-06,0.25,0.8125,1.0625,0.6636751294136047,121.9375,0.00247955322265625,0.46,,,,
198,0.0016,0.5401339530944824,1e-06,0.25,0.9375,1.1875,0.47346171736717224,18.5,0.039794921875,0.46,,,,
199,0.0001,0.46551379561424255,1e-06,0.25,0.9375,1.1875,0.47346171736717224,28.125,0.002338409423828125,0.46,,,,
200,0.0023,1.8935414552688599,1e-06,0.25,0.625,0.875,0.6530319154262543,59.8125,0.05810546875,0.47,,,,
201,0.0002,0.9855169653892517,1e-06,0.125,0.75,0.875,0.4541241526603699,85.375,0.004669189453125,0.47,,,,
202,0.0001,0.18591150641441345,1e-06,0.0,0.9375,0.9375,0.125,15.1875,0.00177001953125,0.47,,,,
203,0.0175,1.9966689348220825,1e-06,0.4375,0.75,1.1875,0.5332483053207397,115.625,0.43621063232421875,0.47,,,,
204,0.001,0.70970618724823,1e-06,0.3125,0.5625,0.875,0.7041241526603699,52.4375,0.026004791259765625,0.48,,,,
205,0.0,0.2710253596305847,1e-06,0.0625,0.8125,0.875,0.34846171736717224,105.25,0.0007534027099609375,0.48,,,,
206,0.0002,0.6200514435768127,1e-06,0.3125,0.6875,1.0,0.7128185033798218,67.75,0.00594329833984375,0.48,,,,
207,0.0021,0.37200891971588135,1e-06,0.1875,0.8125,1.0,0.4927992820739746,75.0625,0.0521240234375,0.48,,,,
208,0.0001,0.16938194632530212,1e-06,0.5,0.9375,1.4375,0.125,45.4375,0.002872467041015625,0.49,,,,
209,0.0004,0.7351847290992737,1e-06,0.375,0.875,1.25,0.36435678601264954,17.0,0.0112457275390625,0.49,,,,
210,0.0029,0.29814502596855164,1e-06,0.0625,0.9375,1.0,0.25,31.3125,0.0719146728515625,0.49,,,,
211,0.0005,0.3015791177749634,1e-06,0.3125,0.9375,1.25,0.39433756470680237,52.125,0.012115478515625,0.49,,,,
212,0.0004,0.8248186707496643,1e-06,0.375,0.75,1.125,0.5984617173671722,117.125,0.0101470947265625,0.5,,,,
213,0.0011,1.0465734004974365,1e-06,0.375,0.875,1.25,0.28867512941360474,13.4375,0.027561187744140625,0.5,,,,
